"sample","elapsed_s","app_mb","eqmux_mb","webview_mb","shell_mb","other_mb","tree_mb","procs"
"1","30","441.2","34.1","407.1","765.1","0","1206.2","23"
"2","60","432.2","34","398.2","758.9","0","1191.1","23"
"3","90","330.1","34","296","758.7","0","1088.7","23"
"4","120","112.9","34","78.8","758.7","0","871.5","24"
"5","150","134.9","34","100.9","758.4","0","893.3","23"
"6","180","138.5","34.1","104.4","758.5","0","897","23"
"7","210","141.4","34.1","107.3","758.5","0","899.9","23"
"8","240","142","34.1","107.9","758.6","0","900.6","23"
"9","270","142.3","34","108.2","757.9","0","900.2","23"
"10","300","152.2","34.2","118","757.9","0","910.1","23"
"11","330","155.1","34.2","120.9","761.2","0","916.3","23"
"12","360","154.9","34.2","120.7","761.2","0","916.1","23"
"13","390","157.3","34.3","123","761.8","0","919.1","23"
"14","420","157.4","34.3","123.2","761.5","0","918.9","23"
"15","450","157.5","34.3","123.2","761.5","0","918.9","23"
"16","480","157.4","34.2","123.2","761.2","0","918.6","23"
"17","510","158.4","34.2","124.2","761.2","0","919.6","23"
"18","540","158.5","34.2","124.3","761.2","0","919.7","23"
"19","570","158.4","34.2","124.2","761.2","0","919.7","23"
"20","600","159.2","34.3","125","761.2","0","920.5","23"
